,donor_id,site_id,cell_class,annotation_coarse,count
10991,AT9,AT9-BRA-4-FO-1,NPC-OPC-like,OPC-NPC-like,885
10998,AT9,AT9-BRA-4-FO-1,NPC-neuronal-like,NPC-neuronal-like,221
11007,AT9,AT9-BRA-4-FO-1,Proliferative,Proliferative,326
11016,AT9,AT9-BRA-4-FO-2,AC-gliosis-hypoxia,AC-progenitor-like,2151
11017,AT9,AT9-BRA-4-FO-2,AC-gliosis-hypoxia,Hypoxic,1141
11018,AT9,AT9-BRA-4-FO-2,AC-gliosis-hypoxia,Gliosis-like,141
11019,AT9,AT9-BRA-4-FO-2,AC-gliosis-hypoxia,AC-gliosis-like,102
11025,AT9,AT9-BRA-4-FO-2,NPC-OPC-like,OPC-NPC-like,14282
11026,AT9,AT9-BRA-4-FO-2,NPC-OPC-like,OPC-like,4481
11027,AT9,AT9-BRA-4-FO-2,NPC-OPC-like,OPC-neuronal-like,227
11034,AT9,AT9-BRA-4-FO-2,NPC-neuronal-like,NPC-neuronal-like,1732
11043,AT9,AT9-BRA-4-FO-2,Proliferative,Proliferative,904
11052,AT9,AT9-BRA-4-FO-3,AC-gliosis-hypoxia,AC-progenitor-like,1866
11053,AT9,AT9-BRA-4-FO-3,AC-gliosis-hypoxia,Hypoxic,1439
11054,AT9,AT9-BRA-4-FO-3,AC-gliosis-hypoxia,AC-gliosis-like,355
11055,AT9,AT9-BRA-4-FO-3,AC-gliosis-hypoxia,Gliosis-like,248
11061,AT9,AT9-BRA-4-FO-3,NPC-OPC-like,OPC-like,11265
11062,AT9,AT9-BRA-4-FO-3,NPC-OPC-like,OPC-neuronal-like,3869
11063,AT9,AT9-BRA-4-FO-3,NPC-OPC-like,OPC-NPC-like,2297
11070,AT9,AT9-BRA-4-FO-3,NPC-neuronal-like,NPC-neuronal-like,877
11079,AT9,AT9-BRA-4-FO-3,Proliferative,Proliferative,1302
11088,AT9,AT9-BRA-4-FO-4,AC-gliosis-hypoxia,Hypoxic,5074
11089,AT9,AT9-BRA-4-FO-4,AC-gliosis-hypoxia,AC-progenitor-like,2127
11090,AT9,AT9-BRA-4-FO-4,AC-gliosis-hypoxia,Gliosis-like,254
11091,AT9,AT9-BRA-4-FO-4,AC-gliosis-hypoxia,AC-gliosis-like,204
11097,AT9,AT9-BRA-4-FO-4,NPC-OPC-like,OPC-like,45092
11098,AT9,AT9-BRA-4-FO-4,NPC-OPC-like,OPC-NPC-like,1558
11099,AT9,AT9-BRA-4-FO-4,NPC-OPC-like,OPC-neuronal-like,1197
11106,AT9,AT9-BRA-4-FO-4,NPC-neuronal-like,NPC-neuronal-like,1032
11115,AT9,AT9-BRA-4-FO-4,Proliferative,Proliferative,903
13176,AT10,AT10-BRA-5-FO-1,AC-gliosis-hypoxia,AC-progenitor-like,3001
13177,AT10,AT10-BRA-5-FO-1,AC-gliosis-hypoxia,Hypoxic,2472
13178,AT10,AT10-BRA-5-FO-1,AC-gliosis-hypoxia,AC-gliosis-like,616
13179,AT10,AT10-BRA-5-FO-1,AC-gliosis-hypoxia,Gliosis-like,311
13185,AT10,AT10-BRA-5-FO-1,NPC-OPC-like,OPC-NPC-like,3977
13186,AT10,AT10-BRA-5-FO-1,NPC-OPC-like,OPC-like,2689
13187,AT10,AT10-BRA-5-FO-1,NPC-OPC-like,OPC-neuronal-like,288
13194,AT10,AT10-BRA-5-FO-1,NPC-neuronal-like,NPC-neuronal-like,3977
