,source,score,norm,pval,state,pval_plot,ng_log_p
140,GOBP_ASTROCYTE_DIFFERENTIATION,0.65092444,1.4042988,0.012658228,NPC-neuronal-like 4,0.012658228,4.3694477
141,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.38825586,-0.94440544,0.50581396,NPC-neuronal-like 4,0.50581396,0.6815864
142,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.38444796,0.8356499,0.8070539,NPC-neuronal-like 4,0.8070539,0.2143648
143,HALLMARK_HYPOXIA,0.36243126,0.8191055,0.90380764,NPC-neuronal-like 4,0.90380764,0.101138726
144,HALLMARK_HYPOXIA,-0.5886676,-1.6891025,0.0,OPC-like 4,9.99999e-07,13.815512
145,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.6472548,1.6004469,0.0,OPC-like 4,9.99999e-07,13.815512
146,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.6154877,-1.2056245,0.24264705,OPC-like 4,0.24264705,1.4161474
147,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.4468501,1.1207597,0.26953125,OPC-like 4,0.26953125,1.3110709
148,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.427528,-1.0607003,0.3524229,OPC-like 4,0.3524229,1.0429235
149,GOBP_ASTROCYTE_DIFFERENTIATION,-0.41706103,-0.9963145,0.487965,OPC-like 4,0.487965,0.7175116
150,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.5463429,-1.6805943,0.0,Gliosis-like,9.99999e-07,13.815512
151,HALLMARK_HYPOXIA,0.71155316,1.9556206,0.0,Gliosis-like,9.99999e-07,13.815512
152,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.782865,1.5544276,0.0056338026,Gliosis-like,0.0056338026,5.178971
153,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.5400017,-1.5570986,0.009756098,Gliosis-like,0.009756098,4.629863
154,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.42086354,-1.26793,0.1005291,Gliosis-like,0.1005291,2.297308
155,GOBP_ASTROCYTE_DIFFERENTIATION,0.40428555,0.9782442,0.51959544,Gliosis-like,0.51959544,0.65470475
156,GOBP_REGULATION_OF_NUCLEAR_DIVISION,0.5634645,1.7418888,0.0,Proliferative NPC-OPC-like,9.99999e-07,13.815512
157,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,0.49510393,1.5127873,0.003875969,Proliferative NPC-OPC-like,0.003875969,5.5529594
158,GOBP_ASTROCYTE_DIFFERENTIATION,0.5619507,1.6567969,0.007168459,Proliferative NPC-OPC-like,0.007168459,4.9380646
159,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,-0.6746094,-1.3899268,0.08227848,Proliferative NPC-OPC-like,0.08227848,2.4976456
160,HALLMARK_HYPOXIA,-0.3717624,-1.1052028,0.24969697,Proliferative NPC-OPC-like,0.24969697,1.3875072
161,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.43789202,-1.1290227,0.29213482,Proliferative NPC-OPC-like,0.29213482,1.2305398
162,HALLMARK_HYPOXIA,0.6894987,2.203876,0.0,Hypoxic 2,9.99999e-07,13.815512
163,GOBP_ANGIOGENESIS_INVOLVED_IN_WOUND_HEALING,0.8154628,1.723302,0.0054945056,Hypoxic 2,0.0054945056,5.2040067
164,GOBP_REGULATION_OF_NUCLEAR_DIVISION,-0.57567644,-1.5829524,0.0076804915,Hypoxic 2,0.0076804915,4.869072
165,GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT,-0.4254536,-1.1242319,0.28050712,Hypoxic 2,0.28050712,1.2711562
166,GOBP_ASTROCYTE_DIFFERENTIATION,-0.42133203,-1.079882,0.33443162,Hypoxic 2,0.33443162,1.0953228
167,GOBP_OLIGODENDROCYTE_DIFFERENTIATION,-0.35180986,-0.9468736,0.54334366,Hypoxic 2,0.54334366,0.61001325
