,annotation_coarse,feature,mean,proportion
130,NPC-neuronal-like,FOXC1,0.0,0.0009104944380665848
131,OPC-NPC-like,FOXC1,0.0015329207556865495,0.000639027634684855
132,OPC-like,FOXC1,0.09470080262406508,0.0031374077084830934
133,OPC-neuronal-like,FOXC1,0.007749801430726621,0.0010007063809748058
134,Proliferative,FOXC1,0.18290300040942659,0.006041142651814589
135,AC-gliosis-like,HSPA1B,0.09052092887671047,0.057205112361377604
136,AC-progenitor-like,HSPA1B,0.07092422851646436,0.05414495539005741
137,Gliosis-like,HSPA1B,0.15354536657024137,0.09267840593141798
138,Hypoxic,HSPA1B,1.0,0.22541634490696896
139,NPC-neuronal-like,HSPA1B,0.2028177398318099,0.10585487510391513
140,OPC-NPC-like,HSPA1B,0.015877423593563464,0.03008646435138695
141,OPC-like,HSPA1B,0.26191970890215666,0.09754180411020565
142,OPC-neuronal-like,HSPA1B,0.0,0.026312691311514008
143,Proliferative,HSPA1B,0.20224565293390168,0.09477182896155228
144,AC-gliosis-like,TWIST1,0.4188690025364966,0.03991999739828937
145,AC-progenitor-like,TWIST1,0.1635111329765851,0.023071251646467242
146,Gliosis-like,TWIST1,0.20626180785038634,0.02840320558251104
147,Hypoxic,TWIST1,0.3405799621504766,0.030335261463144553
148,NPC-neuronal-like,TWIST1,0.0,0.012578678595463362
149,OPC-NPC-like,TWIST1,0.14558644314445265,0.020761877437107945
150,OPC-like,TWIST1,0.2640502069308815,0.029983406002055776
151,OPC-neuronal-like,TWIST1,1.0,0.08176359783376501
152,Proliferative,TWIST1,0.26220183772401334,0.034270571325907294
153,AC-gliosis-like,COL1A2,0.10201618370606014,0.044115255780675794
154,AC-progenitor-like,COL1A2,0.053708302620524194,0.03123938598162584
155,Gliosis-like,COL1A2,0.2562659958562163,0.09971106144033146
156,Hypoxic,COL1A2,0.0676296719710136,0.028717963661795347
157,NPC-neuronal-like,COL1A2,0.20791431843426517,0.0787577688927596
158,OPC-NPC-like,COL1A2,0.0,0.007994366123710534
159,OPC-like,COL1A2,0.10118973612483759,0.03358437073813059
160,OPC-neuronal-like,COL1A2,0.054427768488066894,0.025959500824111137
161,Proliferative,COL1A2,1.0,0.19989669421487602
162,AC-gliosis-like,SNAI2,1.0,0.01905753032618947
163,AC-progenitor-like,SNAI2,0.6355527845388967,0.013652216414139322
164,Gliosis-like,SNAI2,0.3661481720807637,0.009376874011884643
165,Hypoxic,SNAI2,0.40339690730947925,0.00788250550026955
166,NPC-neuronal-like,SNAI2,0.40453407070934577,0.010718103004631645
167,OPC-NPC-like,SNAI2,0.16095961190354108,0.0038080830475097486
168,OPC-like,SNAI2,0.19615763138614364,0.005213337005959059
169,OPC-neuronal-like,SNAI2,0.0,0.0020014127619496116
170,Proliferative,SNAI2,0.726487178318971,0.017584441250449157
171,AC-gliosis-like,JAK2,0.32054769981118497,0.2795700673192624
172,AC-progenitor-like,JAK2,0.33894353427106005,0.28640660078036334
173,Gliosis-like,JAK2,1.0,0.4120918061385815
174,Hypoxic,JAK2,0.36622204040648154,0.2617108388093191
175,NPC-neuronal-like,JAK2,0.01694671696809399,0.23466014805431298
176,OPC-NPC-like,JAK2,0.0788291110334627,0.20914461586614327
